name,type,genre,age_group,gender,image
How to Train Your Dragon,movie,Animation,10-19,male,"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_.jpg"
Harry Potter,movie,Fantasy,10-19,female,"https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg"
Spider-Man,movie,Action,10-19,male,"https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg"
The Hunger Games,movie,Adventure,10-19,female,"https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_.jpg"
Stranger Things,series,Sci-Fi,10-19,male,"https://m.media-amazon.com/images/M/MV5BN2ZmYjg1YmItNWQ4OC00YWM0LWE0ZDktYThjOTZiZjhhN2Q2XkEyXkFqcGdeQXVyNjgxNTQ3Mjk@._V1_.jpg"
Riverdale,series,Drama,20-29,female,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
Outer Banks,series,Adventure,20-29,male,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQprHkEFtz_XC5ILrz7jbglZEcRYdBS_Z1RAQ&s"
Inception,movie,Sci-Fi,20-29,male,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg"
Titanic,movie,Romance,20-29,female,"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg"
The Social Network,movie,Drama,20-29,male,"https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
Friends,series,Comedy,20-29,female,"https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg"
Game of Thrones,series,Fantasy,20-29,male,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg"
Breaking Bad,series,Drama,20-29,male,"https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_.jpg"
The Office,series,Comedy,20-29,female,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg"
The Dark Knight,movie,Action,30-39,male,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg"
The Godfather,movie,Crime,30-39,male,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
Fight Club,movie,Drama,30-39,male,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
Interstellar,movie,Sci-Fi,30-39,male,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
Mad Men,series,Drama,30-39,female,"https://m.media-amazon.com/images/M/MV5BNTgxNDZlODgtMTM5Yy00N2Q5LWJlYTctYzQxOGU2OGYzOWVlXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg"
The Walking Dead,series,Horror,30-39,male,"https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg"
Succession,series,Drama,30-39,female,"https://cdn.hmv.com/r/w-640/hmv/files/b5/b59597dd-fac3-449c-b22d-a7c477304725.jpg"
Shawshank Redemption,movie,Drama,40-49,male,"https://www.musiconvinyl.com/cdn/shop/files/MOVATM091_Sleeve.webp?v=1713507987&width=1445"
Gladiator,movie,Action,40-49,male,"https://www.lafilmotheque.fr/v3/content/uploads/2023/11/51GA6V6VE1L._AC_UF10001000_QL80_-1-480x640.jpg"
The Matrix,movie,Sci-Fi,40-49,male,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
The Crown,series,Drama,40-49,female,"https://static.wikia.nocookie.net/the-crown/images/8/83/2poster.jpg/revision/latest?cb=20171116200604"
Homeland,series,Thriller,40-49,female,"https://media.senscritique.com/media/000000115367/0/homeland.jpg"
Yellowstone,series,Western,40-49,male,"https://m.media-amazon.com/images/M/MV5BYzE2ODQ0NmQtYmMxMS00MGRlLTgwOGEtYjRkN2FkYmZlN2JlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg"
Schindler's List,movie,History,50-59,male,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
The Silence of the Lambs,movie,Thriller,50-59,female,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
Forrest Gump,movie,Drama,50-59,male,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
Downton Abbey,series,Period Drama,50-59,female,"https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg"
NCIS,series,Crime,50-59,male,"https://fr.web.img6.acsta.net/pictures/18/11/23/11/47/4371412.jpg"
Blue Bloods,series,Drama,50-59,female,"https://static.thcdn.com/images/large/original//productimg/1600/1600/11153708-1094833971620113.jpg"
The Best Exotic Marigold Hotel,movie,Comedy,60-69,female,"https://upload.wikimedia.org/wikipedia/en/9/9e/Second_Best_poster.jpg"
As Good as It Gets,movie,Romance,60-69,female,"https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
The Bucket List,movie,Adventure,60-69,male,"https://m.media-amazon.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_FMjpg_UX1000_.jpg"
Call the Midwife,series,Drama,60-69,female,"https://m.media-amazon.com/images/I/816rZaYZmwL._AC_UF1000,1000_QL80_.jpg"
Grace and Frankie,series,Comedy,60-69,female,"https://resizing.flixster.com/Nk1PaLOmC2A3WE_H5vGOlrPr5l4=/fit-in/705x460/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13812608_b_v9_aa.jpg"
Last Tango in Halifax,series,Drama,60-69,male,"https://m.media-amazon.com/images/I/915kBlyXi9L.jpg"
Cocoon,movie,Sci-Fi,more than 70,male,"https://m.media-amazon.com/images/M/MV5BY2VkNzdkMTktODZlYi00NzMzLWEzZDQtZTJmYmFkOGQyMWU4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg"
Driving Miss Daisy,movie,Drama,more than 70,female,"https://m.media-amazon.com/images/S/pv-target-images/a628caf512a3d2cbe1de5fd87c74686fb6e5b773b91bf660310715de051f1626.jpg"
The Curious Case of Benjamin Button,movie,Fantasy,more than 70,male,"https://m.media-amazon.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_.jpg"
Schitt's Creek,series,Comedy,more than 70,female,"https://mediaproxy.tvtropes.org/width/1200/https://static.tvtropes.org/pmwiki/pub/images/schittscreek.png"
Golden Girls,series,Comedy,more than 70,female,"https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/F80FC1BEEB1807F513153B1242DDF2561BCA58759E87AFCFAF602B0423912D46/scale?width=1200&aspectRatio=1.78&format=webp"
All Creatures Great and Small,series,Drama,more than 70,male,"https://m.media-amazon.com/images/I/91X0P99exdL._AC_UF1000,1000_QL80_.jpg"
Avengers: Endgame,movie,Action,20-29,male,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg"
Inside Out,movie,Animation,10-19,female,"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_.jpg"
The Shawshank Redemption,movie,Drama,40-49,male,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
Star Wars,movie,Sci-Fi,20-29,male,"https://i0.wp.com/vilaingeek.com/wp-content/uploads/2023/11/star-wars-movies-in-order-how-to-watch-them-chronologically_mfvf.1280.webp?fit=1280%2C720&ssl=1"
Coco,movie,Animation,10-19,female,"https://lumiere-a.akamaihd.net/v1/images/p_coco_19736_fd5fa537.jpeg?region=0,0,540,810"
The Princess Bride,movie,Adventure,10-19,female,"https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_.jpg"
The Sound of Music,movie,Musical,40-49,female,"https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
Planet Earth,series,Documentary,30-39,male,"https://m.media-amazon.com/images/M/MV5BNWY1ZTZiNWEtZDViYS00ZDVhLWI4NDEtZDgwNWZhZWRhMTgzXkEyXkFqcGc@._V1_.jpg"
Our Planet,series,Documentary,30-39,female,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556038387i/42778090.jpg"
The Simpsons,series,Comedy,20-29,male,"https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg"
Doctor Who,series,Sci-Fi,20-29,male,"https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/8C591BB827AB7611D30A03925DAF84715D7F16EDF4500C17DCEF6FB593718BA7/scale?width=506&aspectRatio=2.00&format=webp"
Cosmos,series,Educational,30-39,male,"https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg"
The Great British Bake Off,series,Reality,40-49,female,"https://ichef.bbci.co.uk/images/ic/640x360/p01l91ph.jpg"
